num_of_prev_attempts,studied_credits,module_presentation_length,date_registration,assessment_submitted_count,assessment_mean_score,assessment_min_score,assessment_max_score,assessment_late_count,assessment_banked_count,assessment_weighted_score,vle_total_clicks,vle_interaction_count,vle_first_click_day,vle_last_click_day,vle_clicks_before_start,vle_clicks_first_30_days,vle_clicks_first_60_days,vle_active_days,vle_avg_clicks_per_active_day,code_module_AAA,code_module_BBB,code_module_CCC,code_module_DDD,code_module_EEE,code_module_FFF,code_module_GGG,code_presentation_2013B,code_presentation_2013J,code_presentation_2014B,code_presentation_2014J,gender_F,gender_M,region_East Anglian Region,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region,highest_education_A Level or Equivalent,highest_education_HE Qualification,highest_education_Lower Than A Level,highest_education_No Formal quals,highest_education_Post Graduate Qualification,imd_band_0-10%,imd_band_10-20,imd_band_20-30%,imd_band_30-40%,imd_band_40-50%,imd_band_50-60%,imd_band_60-70%,imd_band_70-80%,imd_band_80-90%,imd_band_90-100%,imd_band_Unknown,age_band_0-35,age_band_35-55,age_band_55<=,disability_N,disability_Y,target_label,target
0,240,268,-159.0,5.0,82.0,78.0,85.0,0.0,0.0,82.4,934.0,196.0,-5.0,253.0,98.0,326.0,431.0,40.0,23.35,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,Good,1
0,60,268,-53.0,5.0,66.4,60.0,70.0,2.0,0.0,65.4,1435.0,430.0,-10.0,239.0,215.0,403.0,454.0,80.0,17.9375,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Good,1
0,60,268,-92.0,7.0,76.0,60.0,92.0,1.0,0.0,72.03309401709402,281.0,76.0,-10.0,12.0,102.0,179.0,179.0,12.0,23.416666666666668,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,At_Risk,0
0,60,268,-52.0,5.0,76.0,71.0,88.0,0.0,0.0,76.3,2158.0,663.0,-10.0,264.0,169.0,371.0,647.0,123.0,17.54471544715447,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Good,1
0,60,268,-176.0,5.0,54.4,30.0,75.0,5.0,0.0,55.0,1034.0,352.0,-10.0,247.0,295.0,272.0,310.0,70.0,14.771428571428572,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,Good,1
0,60,268,-110.0,5.0,68.0,50.0,79.0,1.0,0.0,66.9,2445.0,723.0,-10.0,267.0,277.0,453.0,728.0,143.0,17.097902097902097,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Good,1
0,60,268,-67.0,5.0,68.0,62.0,75.0,2.0,0.0,67.8,1492.0,355.0,-10.0,267.0,180.0,411.0,529.0,90.0,16.57777777777778,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Good,1
0,120,268,-29.0,5.0,72.4,72.0,73.0,2.0,0.0,72.5,1428.0,531.0,-9.0,264.0,21.0,402.0,571.0,105.0,13.6,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,Good,1
0,90,268,-33.0,5.0,71.4,68.0,75.0,1.0,0.0,71.2,1894.0,593.0,-4.0,245.0,6.0,367.0,573.0,122.0,15.524590163934427,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,Good,1
0,60,268,-179.0,5.0,78.0,71.0,81.0,0.0,0.0,79.0,3158.0,904.0,-7.0,257.0,176.0,399.0,662.0,142.0,22.239436619718308,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Good,1
0,60,268,-103.0,5.0,74.0,68.0,80.0,0.0,0.0,74.0,1319.0,403.0,-10.0,243.0,139.0,393.0,558.0,90.0,14.655555555555555,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Good,1
0,60,268,-47.0,5.0,73.2,68.0,78.0,1.0,0.0,73.7,1732.0,526.0,-10.0,256.0,159.0,357.0,592.0,120.0,14.433333333333334,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Good,1
0,60,268,-59.0,5.0,78.6,67.0,89.0,0.0,0.0,80.8,1102.0,345.0,-10.0,245.0,110.0,422.0,590.0,61.0,18.065573770491802,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,Good,1
0,60,268,-68.0,5.0,76.0,70.0,85.0,0.0,0.0,76.4,3388.0,981.0,-10.0,265.0,251.0,424.0,824.0,148.0,22.89189189189189,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,Good,1
0,60,268,-67.0,5.0,71.6,42.0,83.0,0.0,0.0,71.2,2737.0,760.0,-10.0,268.0,242.0,519.0,775.0,175.0,15.64,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,Good,1
0,60,268,-180.0,2.0,67.0,66.0,68.0,0.0,0.0,67.33333333333333,171.0,54.0,-10.0,96.0,3.0,91.0,167.0,11.0,15.545454545454545,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,At_Risk,0
0,60,268,-95.0,5.0,55.6,38.0,61.0,0.0,0.0,53.5,1053.0,205.0,-10.0,248.0,95.0,311.0,425.0,46.0,22.891304347826086,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,Good,1
0,60,268,-130.0,5.0,80.4,75.0,86.0,0.0,0.0,79.7,2327.0,728.0,-10.0,243.0,204.0,891.0,1200.0,135.0,17.237037037037037,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Good,1
0,150,268,-50.0,4.0,48.5,18.0,67.0,2.0,0.0,46.857142857142854,116.0,72.0,-5.0,213.0,11.0,28.0,65.0,14.0,8.285714285714286,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,At_Risk,0
0,60,268,-107.0,5.0,66.0,65.0,67.0,1.0,0.0,65.8,2992.0,754.0,-10.0,254.0,458.0,529.0,888.0,122.0,24.524590163934427,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,Good,1
0,60,268,-27.0,5.0,70.4,64.0,76.0,1.0,0.0,69.5,680.0,271.0,-10.0,250.0,67.0,226.0,326.0,86.0,7.906976744186046,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Good,1
0,60,268,-31.0,5.0,70.8,57.0,75.0,5.0,0.0,69.0,1494.0,496.0,-8.0,259.0,76.0,259.0,577.0,125.0,11.952,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Good,1
0,60,268,-170.0,1.0,74.0,74.0,74.0,0.0,0.0,74.0,339.0,102.0,-10.0,55.0,82.0,212.0,257.0,24.0,14.125,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,At_Risk,0
0,60,268,-107.0,5.0,60.6,59.0,62.0,0.0,0.0,60.6,2839.0,386.0,-10.0,264.0,477.0,667.0,1046.0,91.0,31.197802197802197,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Good,1
0,60,268,-62.0,5.0,68.4,63.0,74.0,2.0,0.0,68.7,744.0,243.0,-9.0,250.0,27.0,107.0,315.0,52.0,14.307692307692308,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Good,1
